TF,target,importance
ATF1,C1orf56,1
ATF1,GABPB2,1
ATF1,TNFAIP8L2,1
ATF1,SCNM1,1
ATF1,LYSMD1,1
ATF1,PSMD4,1
ATF1,PSMB4,1
ATF1,LENEP,1
ATF1,SLC50A1,1
ATF1,KRTCAP2,1
ATF1,RUSC1-AS1,1
ATF1,ASH1L-AS1,1
ATF1,KHDC4,1
ATF1,ARHGEF2-AS2,1
ATF1,LAMTOR2,1
ATF1,PMF1-BGLAP,1
ATF1,PMF1,1
ATF1,NT5C,1
ATF1,GPATCH4,1
ATF1,HSD17B7,1
ATF1,TMCO1-AS1,1
ATF1,MGST3,1
ATF1,ALDH9A1,1
ATF1,MPC2,1
ATF1,BLZF1,1
ATF1,RABGAP1L-AS1,1
ATF1,MRPS14,1
ATF1,KIAA0040,1
ATF1,RALGPS2,1
ATF1,MR1,1
ATF1,LINC01732,1
ATF1,TRMT1L,1
ATF1,LYPLAL1,1
ATF1,SYT2-AS1,1
ATF1,KLHL12,1
ATF1,LRRN2,1
ATF1,MFSD4A,1
ATF1,RAB29,1
ATF1,PIGR,1
ATF1,LPGAT1-AS1,1
ATF1,TATDN3,1
ATF1,SPATA45,1
ATF1,RRP15,1
ATF1,TGFB2-AS1,1
ATF1,TGFB2,1
ATF1,RAB3GAP2,1
ATF1,C1orf115,1
ATF1,MTARC2,1
ATF1,HHIPL2,1
ATF1,TAF1A-AS1,1
ATF1,AIDA,1
ATF1,BROX,1
ATF1,FAM177B,1
ATF1,DISP1,1
ATF1,ACBD3,1
ATF1,MIXL1,1
ATF1,ITPKB-IT1,1
ATF1,CATSPERE,1
ATF1,CNST,1
ATF1,ZNF692-DT,1
ATF1,TUBB8,1
ATF1,DIP2C,1
ATF1,LINC00200,1
ATF1,ITIH2,1
ATF1,STAM-DT,1
ATF1,NSUN6,1
ATF1,THNSL1,1
ATF1,CCNY-AS1,1
ATF1,ZNF485,1
ATF1,OR13A1,1
ATF1,WDFY4,1
ATF1,ANAPC16,1
ATF1,DNAJC9-AS1,1
ATF1,CFAP70,1
ATF1,ADK,1
ATF1,TMEM254-AS1,1
ATF1,PTEN,1
ATF1,STAMBPL1,1
ATF1,PDE6C,1
ATF1,ENTPD1,1
ATF1,ENTPD1-AS1,1
ATF1,COX15,1
ATF1,BLOC1S2,1
ATF1,BTRC,1
ATF1,OGA,1
ATF1,KCNIP2,1
ATF1,ARMH3,1
ATF1,C10orf95-AS1,1
ATF1,WBP1L,1
ATF1,CYP17A1,1
ATF1,STN1,1
ATF1,SHOC2,1
ATF1,GPAM,1
ATF1,ACSL5,1
ATF1,NHLRC2,1
ATF1,GRK5,1
ATF1,INPP5F,1
ATF1,PLEKHA1,1
ATF1,C10orf143,1
ATF1,LRRC27,1
ATF1,PRAP1,1
ATF1,SWAP70,1
ATF1,SBF2-AS1,1
ATF1,RNF141,1
ATF1,IRAG1-AS1,1
ATF1,ZBED5,1
ATF1,ZBED5-AS1,1
ATF1,RRAS2,1
ATF1,BDNF-AS,1
ATF1,LINC00678,1
ATF1,GAS2,1
ATF1,ARL14EP,1
ATF1,LINC02696,1
ATF1,HARBI1,1
ATF1,AGBL2,1
ATF1,RAPSN,1
ATF1,TIMM10,1
ATF1,HTATIP2,1
ATF1,FAM111A-DT,1
ATF1,TMEM258,1
ATF1,POLR2G,1
ATF1,CSKMT,1
ATF1,SNX15,1
ATF1,SPDYC,1
ATF1,CAPN1-AS1,1
ATF1,ZNRD2-DT,1
ATF1,C11orf80,1
ATF1,LTO1,1
ATF1,CTTN-DT,1
ATF1,KRTAP5-8,1
ATF1,KRTAP5-9,1
ATF1,XNDC1N,1
ATF1,FCHSD2,1
ATF1,RAB30,1
ATF1,RAB30-DT,1
ATF1,LINC02951,1
ATF1,TMEM126B,1
ATF1,CWC15,1
ATF1,ACAT1,1
ATF1,LINC02550,1
ATF1,COLCA1,1
ATF1,POU2AF3,1
ATF1,BCO2,1
ATF1,LINC02762,1
ATF1,LINC02763,1
ATF1,TTC12-DT,1
ATF1,PAFAH1B2,1
ATF1,BACE1-AS,1
ATF1,FXYD2,1
ATF1,KMT2A,1
ATF1,CXCR5,1
ATF1,TRAPPC4,1
ATF1,VPS11-DT,1
ATF1,MSANTD2-AS1,1
ATF1,CCDC15-DT,1
ATF1,MSANTD2,1
ATF1,ETS1,1
ATF1,KCNJ1,1
ATF1,TP53AIP1,1
ATF1,RAD52,1
ATF1,MRPL51,1
ATF1,M6PR,1
ATF1,ATF7IP,1
ATF1,GUCY2C,1
ATF1,C12orf60,1
ATF1,ERP27,1
ATF1,ETNK1,1
ATF1,LINC02955,1
ATF1,LINC02909,1
ATF1,IRAG2,1
ATF1,DNAI7,1
ATF1,ETFRF1,1
ATF1,RESF1,1
ATF1,IRAK4,1
ATF1,PRICKLE1,1
ATF1,TMEM117,1
ATF1,SCAF11,1
ATF1,SLC38A1,1
ATF1,SLC38A4-AS1,1
ATF1,RPAP3-DT,1
ATF1,RPAP3,1
ATF1,LINC02354,1
ATF1,PFKM,1
ATF1,TMBIM6,1
ATF1,BCDIN3D,1
ATF1,TMPRSS12,1
ATF1,HOXC4,1
ATF1,GTSF1,1
ATF1,RDH5,1
ATF1,ORMDL2,1
ATF1,BLOC1S1,1
ATF1,TMBIM4,1
ATF1,CAPS2,1
ATF1,GLIPR1L1,1
ATF1,GLIPR1L2,1
ATF1,GALNT4,1
ATF1,NDUFA12,1
ATF1,LINC02453,1
ATF1,ANKS1B,1
ATF1,SYCP3,1
ATF1,NT5DC3,1
ATF1,MTERF2,1
ATF1,PRDM4,1
ATF1,ALKBH2,1
ATF1,ANKRD13A,1
ATF1,TCTN1,1
ATF1,VPS29,1
ATF1,HVCN1,1
ATF1,OAS2,1
ATF1,OAS1,1
ATF1,SPRING1,1
ATF1,POP5,1
ATF1,ANAPC5,1
ATF1,RNF34,1
ATF1,KDM2B-DT,1
ATF1,HPD,1
ATF1,PSMD9,1
ATF1,TMED2-DT,1
ATF1,TMED2,1
ATF1,TCTN2,1
ATF1,DNAH10,1
ATF1,DNAH10OS,1
ATF1,PUS1-AS1,1
ATF1,ZNF26,1
ATF1,PCOTH,1
ATF1,C1QTNF9B,1
ATF1,SPATA13-AS1,1
ATF1,PAN3,1
ATF1,CKAP2-DT,1
ATF1,N4BP2L1,1
ATF1,KBTBD6-DT,1
ATF1,MTRF1,1
ATF1,TPT1-AS1,1
ATF1,LINC00562,1
ATF1,PHF11,1
ATF1,SERPINE3,1
ATF1,INTS6-AS1,1
ATF1,SUGT1-DT,1
ATF1,RBM26-AS1,1
ATF1,OBI1,1
ATF1,MIR17HG,1
ATF1,GPC5,1
ATF1,CLYBL,1
ATF1,CLYBL-AS2,1
ATF1,METTL21EP,1
ATF1,ANKRD10,1
ATF1,TEX29,1
ATF1,CDC16,1
ATF1,RNASE6,1
ATF1,LINC03058,1
ATF1,METTL17,1
ATF1,TOX4,1
ATF1,METTL3,1
ATF1,NGDN,1
ATF1,THTPA,1
ATF1,MDP1,1
ATF1,NEDD8,1
ATF1,TINF2,1
ATF1,TGM1,1
ATF1,DHRS1,1
ATF1,CBLN3,1
ATF1,SDR39U1,1
ATF1,GZMB,1
ATF1,HEATR5A,1
ATF1,EAPP,1
ATF1,DMAC2L,1
ATF1,CDKL1,1
ATF1,GMFB,1
ATF1,SAMD4A-AS1,1
ATF1,PSMA3-AS1,1
ATF1,LINC01500,1
ATF1,L3HYPDH,1
ATF1,DAAM1,1
ATF1,ESR2,1
ATF1,CHURC1,1
ATF1,LINC02324,1
ATF1,ADAM21,1
ATF1,TTC9-DT,1
ATF1,MAP3K9,1
ATF1,MAP3K9-DT,1
ATF1,HEATR4,1
ATF1,ISCA2,1
ATF1,ACYP1,1
ATF1,BATF,1
ATF1,TMED8,1
ATF1,SAMD15,1
ATF1,GPR65,1
ATF1,EML5,1
ATF1,CALM1,1
ATF1,RPS6KA5,1
ATF1,LGMN,1
ATF1,GOLGA5,1
ATF1,DICER1-AS1,1
ATF1,SNHG10,1
ATF1,PPP2R5C,1
ATF1,COPDA1,1
ATF1,FAM30A,1
ATF1,NIPA1,1
ATF1,LINC02250,1
ATF1,LINC03034,1
ATF1,NOP10,1
ATF1,CCDC9B,1
ATF1,SRP14-DT,1
ATF1,SPINT1-AS1,1
ATF1,DNAJC17,1
ATF1,RAD51,1
ATF1,CHP1,1
ATF1,NDUFAF1,1
ATF1,CCNDBP1,1
ATF1,SQOR,1
